sessie_ID;campagne_ID;bezoeker_ID;starttijd_bezoek;eindtijd_bezoek;totale_tijd_bezoek;kliks_op_site_elementen;paginas_bekeken;apparaat;land;stad;verkeers_bron;conversie
98;2;1508;01-01-2001 19:42;01-01-2001 19:45;3;0;1;5;NL;1;1;0
99;3;1552;01-01-2001 19:44;01-01-2001 20:05;21;2;2;5;NL;7;3;0
100;1;114;01-01-2001 19:51;01-01-2001 20:01;10;2;1;1;NL;2;3;0
101;2;868;01-01-2001 19:55;01-01-2001 20:03;8;1;1;9;NL;4;3;0
102;1;261;01-01-2001 20:00;01-01-2001 20:20;20;2;1;8;NL;6;4;0
103;1;1297;01-01-2001 20:17;01-01-2001 20:45;28;2;1;5;NL;8;2;0
104;2;66;01-01-2001 20:17;01-01-2001 20:46;29;2;1;7;NL;5;4;0
105;1;2407;01-01-2001 20:25;01-01-2001 20:38;13;2;2;1;NL;4;3;0
106;1;882;01-01-2001 20:29;01-01-2001 20:54;25;1;2;9;NL;8;1;0
107;2;2223;01-01-2001 20:38;01-01-2001 20:45;7;1;1;6;NL;2;3;0
108;1;161;01-01-2001 20:53;01-01-2001 21:18;25;1;2;9;NL;2;1;0
109;1;100;01-01-2001 21:02;01-01-2001 21:30;28;1;2;8;NL;5;4;0
110;2;1270;01-01-2001 21:05;01-01-2001 21:20;15;0;1;6;NL;2;1;0
111;2;2364;01-01-2001 21:09;01-01-2001 21:25;16;1;1;3;NL;1;2;0
112;1;2438;01-01-2001 21:16;01-01-2001 21:33;17;1;2;7;NL;4;4;0
113;1;1634;01-01-2001 21:35;01-01-2001 21:38;3;2;2;5;NL;2;1;0
114;1;1841;01-01-2001 21:37;01-01-2001 22:02;25;2;2;4;NL;6;2;0
115;1;2066;01-01-2001 21:51;01-01-2001 22:13;22;1;1;7;NL;5;3;0
116;1;2021;01-01-2001 22:01;01-01-2001 22:27;26;2;1;8;NL;5;2;0
117;3;2223;01-01-2001 22:04;01-01-2001 22:08;4;2;2;2;NL;5;3;0
118;1;95;01-01-2001 22:18;01-01-2001 22:42;24;2;2;5;NL;1;2;0
119;1;1287;01-01-2001 22:24;01-01-2001 22:35;11;1;1;8;NL;4;2;1
120;1;2518;01-01-2001 22:31;01-01-2001 22:55;24;1;1;3;NL;1;2;0
121;3;1319;01-01-2001 22:38;01-01-2001 23:07;29;2;2;4;NL;4;3;0
122;2;439;01-01-2001 23:02;01-01-2001 23:28;26;0;1;1;NL;7;4;0
123;3;1996;01-01-2001 23:07;01-01-2001 23:34;27;1;1;3;NL;9;1;1
124;2;908;01-01-2001 23:09;01-01-2001 23:13;4;0;1;6;NL;3;2;0
125;1;1534;01-01-2001 23:15;01-01-2001 23:25;10;1;2;9;NL;3;1;0
126;1;1550;01-01-2001 23:22;01-01-2001 23:31;9;2;2;5;NL;7;1;0
127;1;2089;01-01-2001 23:22;01-01-2001 23:37;15;2;2;3;NL;9;4;0
128;1;2790;01-01-2001 23:23;01-01-2001 23:52;29;2;3;8;NL;3;3;0
129;1;2081;01-01-2001 23:23;01-01-2001 23:43;20;3;3;2;NL;8;4;0
130;1;2994;01-01-2001 23:40;01-01-2001 23:56;16;3;3;2;NL;3;3;0
131;2;57;01-01-2001 23:53;02-01-2001 00:17;24;1;1;5;NL;6;3;0
132;1;2348;02-01-2001 00:27;02-01-2001 00:33;6;2;1;8;NL;2;3;0
133;1;1251;02-01-2001 00:30;02-01-2001 00:50;20;2;1;2;NL;3;3;0
134;1;2188;02-01-2001 00:50;02-01-2001 01:05;15;2;2;1;NL;9;4;0
135;2;256;02-01-2001 00:52;02-01-2001 00:58;6;1;1;7;NL;4;2;0
136;1;1583;02-01-2001 00:53;02-01-2001 01:12;19;3;2;6;NL;1;1;1
137;1;90;02-01-2001 00:53;02-01-2001 01:18;25;3;1;7;NL;7;2;0
138;1;1997;02-01-2001 00:58;02-01-2001 01:23;25;3;1;4;NL;2;1;1
139;3;650;02-01-2001 01:14;02-01-2001 01:39;25;3;2;2;NL;1;1;0
140;2;434;02-01-2001 01:27;02-01-2001 01:51;24;2;1;3;NL;8;1;0
141;1;238;02-01-2001 01:32;02-01-2001 01:46;14;3;2;5;NL;4;1;0
142;3;808;02-01-2001 01:54;02-01-2001 01:56;2;3;3;4;NL;2;3;0
143;1;2879;02-01-2001 01:55;02-01-2001 02:23;28;4;2;9;NL;9;3;0
144;1;2953;02-01-2001 01:55;02-01-2001 02:09;14;3;2;3;NL;3;4;0
145;1;242;02-01-2001 01:56;02-01-2001 02:15;19;3;2;3;NL;6;2;0
146;1;2938;02-01-2001 01:57;02-01-2001 01:58;1;2;2;2;NL;3;2;0
147;1;1763;02-01-2001 02:10;02-01-2001 02:36;26;1;2;6;NL;6;2;0
148;1;969;02-01-2001 02:14;02-01-2001 02:40;26;2;2;8;NL;7;4;0
149;2;2827;02-01-2001 02:16;02-01-2001 02:43;27;2;1;8;NL;7;4;0
150;1;723;02-01-2001 02:28;02-01-2001 02:34;6;3;2;3;NL;4;3;0
151;1;545;02-01-2001 02:35;02-01-2001 03:00;25;3;2;4;NL;6;3;0
152;1;689;02-01-2001 02:46;02-01-2001 03:05;19;3;1;7;NL;8;4;0
153;1;438;02-01-2001 03:02;02-01-2001 03:07;5;3;2;1;NL;8;1;0
154;1;1455;02-01-2001 03:11;02-01-2001 03:28;17;4;2;7;NL;7;2;0
155;1;422;02-01-2001 03:17;02-01-2001 03:31;14;4;2;2;NL;4;1;1
156;2;672;02-01-2001 03:19;02-01-2001 03:38;19;2;1;1;NL;5;1;0
157;1;1114;02-01-2001 03:21;02-01-2001 03:24;3;4;2;2;NL;9;2;0
158;3;1945;02-01-2001 03:27;02-01-2001 03:44;17;4;3;8;NL;3;4;0
159;1;2574;02-01-2001 03:28;02-01-2001 03:48;20;3;3;7;NL;7;2;0
160;1;225;02-01-2001 03:38;02-01-2001 03:59;21;3;3;8;NL;8;4;0
161;3;1892;02-01-2001 03:39;02-01-2001 04:02;23;3;3;7;NL;5;3;0
162;2;311;02-01-2001 03:41;02-01-2001 04:00;19;2;2;8;NL;8;3;0
163;1;2972;02-01-2001 03:41;02-01-2001 04:02;21;3;3;5;NL;4;1;1
164;2;831;02-01-2001 03:43;02-01-2001 03:46;3;2;1;8;NL;8;4;0
165;1;2570;02-01-2001 03:51;02-01-2001 04:15;24;3;3;1;NL;6;1;1
166;2;2332;02-01-2001 03:59;02-01-2001 04:10;11;2;2;6;NL;1;2;0
167;1;973;02-01-2001 03:59;02-01-2001 04:15;16;3;3;7;NL;8;4;0
168;1;970;02-01-2001 04:01;02-01-2001 04:17;16;2;2;9;NL;7;3;0
169;1;951;02-01-2001 04:27;02-01-2001 04:56;29;4;2;4;NL;3;2;0
170;1;1412;02-01-2001 04:28;02-01-2001 04:38;10;3;2;2;NL;7;2;1
171;1;1326;02-01-2001 04:32;02-01-2001 04:44;12;3;3;7;NL;5;2;0
172;3;1970;02-01-2001 04:33;02-01-2001 04:56;23;3;3;1;NL;9;2;0
173;1;1393;02-01-2001 04:41;02-01-2001 05:00;19;3;2;7;NL;3;1;0
174;1;2365;02-01-2001 04:45;02-01-2001 04:55;10;2;2;7;NL;3;1;0
175;1;1399;02-01-2001 04:46;02-01-2001 04:56;10;2;1;7;NL;1;1;0
176;3;922;02-01-2001 04:46;02-01-2001 05:11;25;3;2;3;NL;8;1;0
177;1;980;02-01-2001 04:46;02-01-2001 05:11;25;2;2;2;NL;9;2;0
178;1;2193;02-01-2001 04:49;02-01-2001 04:54;5;2;2;6;NL;7;1;0
179;1;422;02-01-2001 04:54;02-01-2001 05:06;12;2;2;4;NL;4;3;0
180;3;858;02-01-2001 04:57;02-01-2001 05:20;23;3;3;4;NL;8;3;0
181;2;935;02-01-2001 04:59;02-01-2001 05:03;4;1;1;2;NL;3;1;0
182;3;1933;02-01-2001 05:12;02-01-2001 05:18;6;3;2;4;NL;7;4;0
183;3;388;02-01-2001 05:32;02-01-2001 05:37;5;2;3;8;NL;6;3;0
184;1;1353;02-01-2001 05:34;02-01-2001 05:50;16;2;3;9;NL;8;2;0
185;2;2024;02-01-2001 05:36;02-01-2001 05:50;14;1;2;4;NL;9;1;0
186;1;2779;02-01-2001 05:50;02-01-2001 06:00;10;3;3;2;NL;4;2;0
187;2;1313;02-01-2001 05:51;02-01-2001 05:55;4;1;2;1;NL;1;4;0
188;1;2946;02-01-2001 05:58;02-01-2001 06:17;19;2;3;2;NL;2;1;0
189;1;1823;02-01-2001 06:05;02-01-2001 06:29;24;3;2;1;NL;7;1;1
190;1;2322;02-01-2001 06:06;02-01-2001 06:13;7;3;1;7;NL;4;2;0
191;1;729;02-01-2001 06:11;02-01-2001 06:31;20;3;1;6;NL;2;4;0
192;1;2746;02-01-2001 06:13;02-01-2001 06:37;24;3;2;8;NL;8;2;1
193;1;778;02-01-2001 06:16;02-01-2001 06:33;17;2;3;3;NL;6;3;0
194;2;410;02-01-2001 06:29;02-01-2001 06:46;17;0;2;8;NL;2;3;0
195;3;237;02-01-2001 06:30;02-01-2001 06:35;5;3;3;2;NL;7;1;0
196;3;1963;02-01-2001 06:33;02-01-2001 07:01;28;2;3;3;NL;6;4;0
197;1;1885;02-01-2001 06:47;02-01-2001 07:15;28;2;3;9;NL;9;1;1
198;1;595;02-01-2001 06:53;02-01-2001 07:14;21;3;3;8;NL;9;3;0
199;1;2636;02-01-2001 06:56;02-01-2001 07:23;27;3;1;6;NL;9;3;1
200;3;831;02-01-2001 06:57;02-01-2001 07:15;18;4;4;6;NL;9;3;0
201;1;1829;02-01-2001 06:58;02-01-2001 07:18;20;3;4;7;NL;8;4;0
202;3;1568;02-01-2001 07:03;02-01-2001 07:28;25;3;4;8;NL;7;3;0
203;3;1777;02-01-2001 07:05;02-01-2001 07:07;2;3;3;3;NL;5;3;1
204;1;2226;02-01-2001 07:05;02-01-2001 07:12;7;2;3;1;NL;8;1;1
205;2;2782;02-01-2001 07:24;02-01-2001 07:30;6;0;2;2;NL;9;2;0
206;1;2164;02-01-2001 07:25;02-01-2001 07:44;19;3;3;4;NL;2;2;0
207;3;2721;02-01-2001 07:25;02-01-2001 07:33;8;4;3;3;NL;2;2;0
208;3;2608;02-01-2001 07:37;02-01-2001 07:49;12;4;3;5;NL;5;1;0
209;1;1077;02-01-2001 07:40;02-01-2001 07:55;15;4;3;2;NL;3;1;0
210;1;1678;02-01-2001 07:53;02-01-2001 08:15;22;3;3;6;NL;5;2;1
211;2;595;02-01-2001 07:58;02-01-2001 08:14;16;1;2;7;NL;3;3;0
212;3;2779;02-01-2001 08:18;02-01-2001 08:19;1;4;3;1;NL;8;4;0
213;3;2901;02-01-2001 08:25;02-01-2001 08:45;20;5;4;3;NL;9;4;1
214;1;2663;02-01-2001 08:33;02-01-2001 08:46;13;4;3;5;NL;3;2;0
215;2;2227;02-01-2001 08:35;02-01-2001 08:39;4;2;1;1;NL;7;4;0
216;3;2547;02-01-2001 08:52;02-01-2001 09:11;19;4;3;6;NL;1;2;0
217;1;2382;02-01-2001 08:54;02-01-2001 09:02;8;4;2;7;NL;8;2;0
218;3;689;02-01-2001 09:06;02-01-2001 09:20;14;5;2;4;NL;7;1;0
219;3;792;02-01-2001 09:06;02-01-2001 09:35;29;6;3;1;NL;7;3;0
220;1;1594;02-01-2001 09:09;02-01-2001 09:16;7;5;3;5;NL;5;2;0
221;2;1262;02-01-2001 09:29;02-01-2001 09:55;26;3;1;8;NL;1;2;0
222;2;2208;02-01-2001 09:34;02-01-2001 09:48;14;3;1;3;NL;8;4;0
223;2;2208;02-01-2001 09:34;02-01-2001 10:02;28;3;1;8;NL;1;3;1
224;3;2928;02-01-2001 09:51;02-01-2001 10:16;25;5;3;8;NL;5;2;0
225;3;2365;02-01-2001 09:52;02-01-2001 10:17;25;4;3;3;NL;2;3;1
226;2;35;02-01-2001 09:53;02-01-2001 09:59;6;2;2;6;NL;8;3;0
227;3;1022;02-01-2001 09:54;02-01-2001 10:17;23;5;3;1;NL;6;3;1
228;1;982;02-01-2001 09:55;02-01-2001 10:06;11;5;2;5;NL;5;1;0
229;3;1901;02-01-2001 10:06;02-01-2001 10:33;27;6;3;8;NL;3;1;0
230;1;1027;02-01-2001 10:09;02-01-2001 10:38;29;5;2;9;NL;8;1;0
231;1;2935;02-01-2001 10:18;02-01-2001 10:36;18;5;2;2;NL;2;4;1
232;3;866;02-01-2001 10:18;02-01-2001 10:45;27;7;3;6;NL;7;2;1
233;1;1313;02-01-2001 10:25;02-01-2001 10:41;16;6;3;1;NL;9;2;0
234;3;2452;02-01-2001 10:27;02-01-2001 10:28;1;5;4;3;NL;3;4;0
235;1;1102;02-01-2001 10:31;02-01-2001 10:57;26;4;3;8;NL;7;4;0
236;1;136;02-01-2001 10:35;02-01-2001 10:51;16;5;4;6;NL;3;1;0
237;1;997;02-01-2001 10:36;02-01-2001 10:38;2;4;4;4;NL;9;4;0
238;3;1078;02-01-2001 10:39;02-01-2001 10:41;2;4;4;9;NL;9;3;0
239;2;1836;02-01-2001 10:41;02-01-2001 11:02;21;2;2;7;NL;3;3;0
240;1;2135;02-01-2001 10:44;02-01-2001 11:11;27;4;3;1;NL;3;1;1
241;3;1646;02-01-2001 10:56;02-01-2001 11:17;21;5;2;1;NL;1;3;0
242;2;1220;02-01-2001 10:57;02-01-2001 11:10;13;3;1;6;NL;7;3;0
243;2;1508;02-01-2001 11:04;02-01-2001 11:13;9;2;1;8;NL;9;2;0
244;3;433;02-01-2001 11:12;02-01-2001 11:25;13;4;3;2;NL;2;3;0
245;2;543;02-01-2001 11:24;02-01-2001 11:34;10;1;1;5;NL;8;1;0
246;2;1832;02-01-2001 11:29;02-01-2001 11:37;8;2;1;8;NL;7;3;0
247;3;2596;02-01-2001 11:36;02-01-2001 11:40;4;5;2;8;NL;5;1;0
248;3;1568;02-01-2001 11:37;02-01-2001 11:54;17;4;3;6;NL;3;2;0
249;2;182;02-01-2001 11:37;02-01-2001 11:44;7;1;1;9;NL;6;2;0
250;2;2945;02-01-2001 11:43;02-01-2001 11:48;5;1;1;9;NL;6;1;0
251;3;973;02-01-2001 11:57;02-01-2001 12:05;8;5;3;8;NL;8;4;0
252;1;2245;02-01-2001 12:25;02-01-2001 12:49;24;4;3;7;NL;6;4;0
253;2;2693;02-01-2001 12:26;02-01-2001 12:43;17;2;2;9;NL;1;2;0
254;2;2958;02-01-2001 12:32;02-01-2001 12:47;15;1;1;1;NL;2;3;0
255;2;350;02-01-2001 12:37;02-01-2001 12:55;18;1;2;1;NL;4;2;0
256;2;559;02-01-2001 12:37;02-01-2001 12:54;17;2;2;5;NL;5;1;0
257;3;1936;02-01-2001 12:43;02-01-2001 12:58;15;6;3;7;NL;4;4;0
258;3;2285;02-01-2001 12:50;02-01-2001 13:15;25;6;3;9;NL;8;2;0
259;1;2504;02-01-2001 12:50;02-01-2001 13:12;22;5;3;7;NL;3;4;0
260;3;1655;02-01-2001 12:54;02-01-2001 13:00;6;6;2;3;NL;7;1;0
261;2;476;02-01-2001 12:55;02-01-2001 13:19;24;3;1;9;NL;4;1;0
262;1;2137;02-01-2001 12:58;02-01-2001 13:04;6;5;3;1;NL;9;2;0
263;1;2005;02-01-2001 13:03;02-01-2001 13:06;3;6;3;1;NL;9;4;0
264;3;1403;02-01-2001 13:07;02-01-2001 13:20;13;6;4;7;NL;8;2;1
265;3;1913;02-01-2001 13:07;02-01-2001 13:19;12;6;4;9;NL;7;4;0
266;1;637;02-01-2001 13:23;02-01-2001 13:46;23;5;2;5;NL;6;1;0
267;3;2432;02-01-2001 13:25;02-01-2001 13:46;21;6;3;2;NL;6;4;0
268;1;138;02-01-2001 13:26;02-01-2001 13:28;2;6;3;1;NL;6;2;0
269;1;2517;02-01-2001 13:29;02-01-2001 13:44;15;5;2;9;NL;1;2;0
270;1;2515;02-01-2001 13:32;02-01-2001 13:56;24;6;3;3;NL;9;3;1
271;2;2062;02-01-2001 13:46;02-01-2001 14:08;22;3;1;6;NL;9;4;0
272;2;2444;02-01-2001 13:47;02-01-2001 14:02;15;3;1;3;NL;5;4;0
273;1;2738;02-01-2001 13:47;02-01-2001 14:05;18;5;4;2;NL;8;1;1
274;1;488;02-01-2001 13:50;02-01-2001 14:07;17;5;4;7;NL;4;3;0
275;1;1634;02-01-2001 13:59;02-01-2001 14:06;7;5;3;7;NL;2;2;0
276;2;1935;02-01-2001 14:05;02-01-2001 14:22;17;3;2;5;NL;8;3;0
277;1;2828;02-01-2001 14:14;02-01-2001 14:34;20;5;4;5;NL;5;2;0
278;2;2213;02-01-2001 14:16;02-01-2001 14:18;2;3;4;5;NL;9;4;0
279;3;1783;02-01-2001 14:17;02-01-2001 14:38;21;6;5;6;NL;2;2;0
280;1;1673;02-01-2001 14:19;02-01-2001 14:27;8;5;4;8;NL;5;2;1
281;1;432;02-01-2001 14:20;02-01-2001 14:21;1;5;4;7;NL;7;2;0
282;1;952;02-01-2001 14:21;02-01-2001 14:43;22;5;5;3;NL;2;3;0
283;2;1300;02-01-2001 14:24;02-01-2001 14:36;12;3;2;3;NL;9;4;0
284;3;2642;02-01-2001 14:26;02-01-2001 14:38;12;5;5;7;NL;6;1;0
285;1;2585;02-01-2001 14:29;02-01-2001 14:48;19;5;4;6;NL;2;3;0
286;3;1927;02-01-2001 14:34;02-01-2001 14:51;17;6;4;4;NL;7;1;0
287;3;318;02-01-2001 14:46;02-01-2001 15:04;18;5;3;8;NL;8;3;0
288;1;2160;02-01-2001 14:51;02-01-2001 15:19;28;4;2;4;NL;4;3;0
289;3;1377;02-01-2001 14:54;02-01-2001 15:13;19;6;3;4;NL;6;4;1
290;1;1956;02-01-2001 14:55;02-01-2001 14:57;2;5;3;6;NL;7;1;0
291;1;1300;02-01-2001 15:02;02-01-2001 15:09;7;6;2;2;NL;2;4;0
292;1;2164;02-01-2001 15:03;02-01-2001 15:17;14;5;2;7;NL;5;3;0
293;2;653;02-01-2001 15:04;02-01-2001 15:18;14;2;1;9;NL;6;3;0
294;3;436;02-01-2001 15:24;02-01-2001 15:35;11;5;3;9;NL;3;3;1
295;1;660;02-01-2001 15:26;02-01-2001 15:32;6;5;3;5;NL;3;3;1
296;2;2767;02-01-2001 15:27;02-01-2001 15:31;4;3;2;3;NL;6;1;0
297;2;227;02-01-2001 15:27;02-01-2001 15:32;5;3;2;5;NL;7;4;0
298;3;858;02-01-2001 15:29;02-01-2001 15:57;28;6;5;1;NL;4;2;0
299;1;1028;02-01-2001 15:29;02-01-2001 15:41;12;6;3;7;NL;2;1;0
300;3;2509;02-01-2001 15:30;02-01-2001 15:58;28;6;5;4;NL;8;3;0
301;1;1078;02-01-2001 15:30;02-01-2001 15:40;10;5;5;2;NL;2;4;0
302;1;2680;02-01-2001 15:35;02-01-2001 15:45;10;5;4;5;NL;1;3;1
